File,Heating_kWh,Cooling_kWh,Fan_Wh,Comfort_dT,IAQ_Ratio
FCU_FanOutletBlockage,2.577857982846774,3.0995493178698923,30.502360215053766,1.4176881720430095,0.032539448304077664
FCU_FaultFree,6.19505462103387,0.32891168109408603,26.433747311827954,0.9835454002389482,0.0945877798810891
FCU_FilterRestriction_10%,5.633993347240321,0.4215401867607527,27.825569892473112,0.9842084826762237,0.08873793267357499
FCU_FilterRestriction_20%,5.101162423688709,0.5406949186935485,29.106107526881715,0.9603315412186373,0.08247809929229395
FCU_FilterRestriction_50%,3.5857730709876336,0.9886199968317204,32.0251505376344,1.006487455197132,0.05971999765894813
FCU_OABlockage,2.6826941743263437,1.8017223212258069,22.100774193548382,0.6770908004778969,0.007332341140197819
FCU_OADMPRLeak_20,7.157045023280644,0.22380372931827958,27.111349462365588,1.1230854241338106,0.11400749074222545
FCU_OADMPRLeak_50,8.381406699305913,0.1281770855467742,27.478236559139777,1.2379868578255666,0.13243970628599155
FCU_OADMPRLeak_80,9.358152289067204,0.1001419716951613,28.12527956989247,1.3533661887694137,0.14965312993572896
FCU_OADMPRStuck_0,2.564166725746236,2.2042956227080643,22.030290322580647,0.6717891278375147,0.0028173621106701795
FCU_OADMPRStuck_100,2.3953637720231185,0.0,34.93258602150537,271.33585125448025,0.9999204876266945
FCU_OADMPRStuck_30,7.088459430887633,0.32914934236935484,27.150526881720424,0.9775746714456384,0.10681959856194563
FCU_OADMPRStuck_50,11.794443479929566,0.05131286683494624,31.646924731182803,73.8336320191159,0.35415549836917276
FCU_OADMPRStuck_80,5.360278394927955,0.0,29.449397849462365,172.21802867383508,0.8453647457664909
FCU_SensorBias_RMTemp_+2C,4.938095084405376,0.6669855698370968,24.512220430107526,0.8222968936678609,0.09543015360688839
FCU_SensorBias_RMTemp_+4C,3.772734206296774,1.1358312047193548,21.083946236559132,0.5949940262843483,0.10625023877898061
FCU_SensorBias_RMTemp_-2C,7.668496207268279,0.12476607280967743,29.032080645161283,1.2920161290322572,0.08475343383595631
FCU_SensorBias_RMTemp_-4C,9.633536573168817,0.031157013522043014,35.01706451612903,2.0158363201911573,0.08597991117568075
FCU_VLVLeak_Cooling_20,20.192017778288168,18.987017895006453,36.12016666666666,1.879023297491038,0.09342699558863775
FCU_VLVLeak_Cooling_50,24.039513587874726,27.479202569733857,41.02810215053764,2.264166666666665,0.09566350359037405
FCU_VLVLeak_Cooling_80,24.07940308576344,28.01549795854191,43.19717204301076,2.3686827956989225,0.09686567923934074
FCU_VLVLeak_Heating_20,10.3807091376258,5.528714679806989,15.743209677419353,0.7217532855436072,0.09731898925463434
FCU_VLVLeak_Heating_50,15.55304852964031,10.603712229178493,32.246731182795706,1.1973058542413366,0.11243943007263081
FCU_VLVLeak_Heating_80,19.169219337890304,12.184029252801075,55.88648387096776,1.7134468339307034,0.12160230167636313
FCU_VLVStuck_Cooling_0,6.145638727869891,0.0,30.912252688172043,1.3327538829151726,0.09711134269500914
FCU_VLVStuck_Cooling_100,23.901812659162363,26.21126697651826,43.33888172043011,2.385675029868576,0.0979605435410223
FCU_VLVStuck_Cooling_20,17.409563377462366,15.34725106049032,33.46496774193548,1.6878046594982063,0.09252665727418637
FCU_VLVStuck_Cooling_50,24.409484381393543,27.730475009969876,41.72973655913979,2.308458781362005,0.09585086644600169
FCU_VLVStuck_Cooling_80,23.880598420760204,25.782461343103744,43.28490322580645,2.3832317801672622,0.09792476419373528
FCU_VLVStuck_Heating_0,0.0,0.05202885962956989,219.44698924731188,74.43762246117085,0.05707214076040495
FCU_VLVStuck_Heating_100,21.026005189827927,13.178598445720429,61.781763440860225,3.331591995221026,0.1239814544373626
FCU_VLVStuck_Heating_20,8.39034636141559,0.8461188806451615,115.45149462365595,39.94269713261647,0.08967378457932111
FCU_VLVStuck_Heating_50,18.301839729487078,11.934797247882795,50.56117741935485,1.332374551971325,0.1190308184257492
FCU_VLVStuck_Heating_80,20.99695695144944,13.333195222708062,61.721016129032265,3.2655854241338087,0.1243070216498302
